"Table 1 Businesses by Main State, Quarterly, June 2020 – June 2021 (a) (b)",,,,,,,,,
State,Operating at start of quarter,Entries,Exits,Net movement of surviving businesses,Operating at end of quarter,Change,Percentage change,Entry rate,Exit rate
Jun-20,,,,,,,,,
New South Wales," 775,596 "," 33,975 "," 22,785 ",-383," 786,403 ","10,807",1.4,4.4,2.9
Victoria," 620,643 "," 29,050 "," 18,695 ",-110," 630,888 ","10,245",1.7,4.7,3.0
Queensland," 439,029 "," 17,257 "," 12,853 ",296," 443,729 ","4,700",1.1,3.9,2.9
South Australia," 143,826 "," 5,047 "," 3,624 ",70," 145,319 ","1,493",1.0,3.5,2.5
Western Australia," 220,930 "," 8,265 "," 6,257 ",-102," 222,836 ","1,906",0.9,3.7,2.8
Tasmania," 38,528 "," 1,409 ", 924 ,252," 39,265 ",737,1.9,3.7,2.4
Northern Territory," 14,344 ", 634 , 420 ,-18," 14,540 ",196,1.4,4.4,2.9
Australian Capital Territory," 29,353 "," 1,307 ", 892 ,-1," 29,767 ",414,1.4,4.5,3.0
Other Territories/Currently Unknown," 1,712 ", 77 , 84 ,-4," 1,701 ",-11,,,
Australia," 2,283,961 "," 97,021 "," 66,534 ",0," 2,314,448 ","30,487",1.3,4.2,2.9
Sep-20,,,,,,,,,
New South Wales," 786,403 "," 40,867 "," 28,756 ",-90," 798,424 ","12,021",1.5,5.2,3.7
Victoria," 630,888 "," 33,103 "," 22,067 ",-70," 641,854 ","10,966",1.7,5.2,3.5
Queensland," 443,729 "," 21,553 "," 15,552 ",269," 449,999 ","6,270",1.4,4.9,3.5
South Australia," 145,319 "," 6,322 "," 4,478 ",34," 147,197 ","1,878",1.3,4.4,3.1
Western Australia," 222,836 "," 10,097 "," 7,349 ",-126," 225,458 ","2,622",1.2,4.5,3.3
Tasmania," 39,265 "," 1,710 "," 1,186 ",54," 39,843 ",578,1.5,4.4,3.0
Northern Territory," 14,540 ", 701 , 493 ,-36," 14,712 ",172,1.2,4.8,3.4
Australian Capital Territory," 29,767 "," 1,737 "," 1,130 ",-40," 30,334 ",567,1.9,5.8,3.8
Other Territories/Currently Unknown," 1,701 ", 103 , 108 ,5," 1,701 ",0,,,
Australia," 2,314,448 "," 116,193 "," 81,119 ",0," 2,349,522 ","35,074",1.5,5.0,3.5
Dec-20,,,,,,,,,
New South Wales," 798,424 "," 36,145 "," 36,957 ",-153," 797,459 ",-965,-0.1,4.5,4.6
Victoria," 641,854 "," 27,597 "," 28,564 ",0," 640,887 ",-967,-0.2,4.3,4.5
Queensland," 449,999 "," 19,176 "," 20,119 ",187," 449,243 ",-756,-0.2,4.3,4.5
South Australia," 147,197 "," 5,545 "," 6,333 ",0," 146,409 ",-788,-0.5,3.8,4.3
Western Australia," 225,458 "," 9,189 "," 10,000 ",-84," 224,563 ",-895,-0.4,4.1,4.4
Tasmania," 39,843 "," 1,460 "," 1,589 ",53," 39,767 ",-76,-0.2,3.7,4.0
Northern Territory," 14,712 ", 644 , 703 ,-6," 14,647 ",-65,-0.4,4.4,4.8
Australian Capital Territory," 30,334 "," 1,610 "," 1,528 ",-2," 30,414 ",80,0.3,5.3,5.0
Other Territories/Currently Unknown," 1,701 ", 112 , 88 ,5," 1,730 ",29,,,
Australia," 2,349,522 "," 101,478 "," 105,881 ",0," 2,345,119 ","-4,403",-0.2,4.3,4.5
Mar-21,,,,,,,,,
New South Wales," 797,459 "," 33,699 "," 25,559 ",-162," 805,437 ","7,978",1.0,4.2,3.2
Victoria," 640,887 "," 26,629 "," 20,470 ",-175," 646,871 ","5,984",0.9,4.2,3.2
Queensland," 449,243 "," 18,335 "," 13,910 ",255," 453,923 ","4,680",1.0,4.1,3.1
South Australia," 146,409 "," 5,060 "," 3,922 ",15," 147,562 ","1,153",0.8,3.5,2.7
Western Australia," 224,563 "," 9,063 "," 6,688 ",-14," 226,924 ","2,361",1.1,4.0,3.0
Tasmania," 39,767 "," 1,312 "," 1,066 ",57," 40,070 ",303,0.8,3.3,2.7
Northern Territory," 14,647 ", 627 , 499 ,-7," 14,768 ",121,0.8,4.3,3.4
Australian Capital Territory," 30,414 "," 1,484 "," 1,036 ",34," 30,896 ",482,1.6,4.9,3.4
Other Territories/Currently Unknown," 1,730 ", 89 , 84 ,-3," 1,732 ",2,,,
Australia," 2,345,119 "," 96,298 "," 73,234 ",0," 2,368,183 ","23,064",1.0,4.1,3.1
Jun-21,,,,,,,,,
New South Wales," 805,437 "," 37,190 "," 24,811 ",-168," 817,648 ","12,211",1.5,4.6,3.1
Victoria," 646,871 "," 30,652 "," 21,607 ",-521," 655,395 ","8,524",1.3,4.7,3.3
Queensland," 453,923 "," 19,934 "," 13,647 ",459," 460,669 ","6,746",1.5,4.4,3.0
South Australia," 147,562 "," 5,816 "," 4,016 ",42," 149,404 ","1,842",1.2,3.9,2.7
Western Australia," 226,924 "," 9,713 "," 6,459 ",42," 230,220 ","3,296",1.5,4.3,2.8
Tasmania," 40,070 "," 1,544 ", 982 ,86," 40,718 ",648,1.6,3.9,2.5
Northern Territory," 14,768 ", 667 , 478 ,-10," 14,947 ",179,1.2,4.5,3.2
Australian Capital Territory," 30,896 "," 1,588 "," 1,038 ",53," 31,499 ",603,2.0,5.1,3.4
Other Territories/Currently Unknown," 1,732 ", 102 , 97 ,17," 1,754 ",22,,,
Australia," 2,368,183 "," 107,206 "," 73,135 ",0," 2,402,254 "," 34,071 ",1.4,4.5,3.0
