State,Operating at start of quarter,Entries,Exits,Net movement of surviving businesses,Operating at end of quarter,Change,Percentage change,Entry rate,Exit rate
New South Wales," 798,424 "," 36,145 "," 36,957 ",-153," 797,459 ",-965,-0.1,4.5,4.6
Victoria," 641,854 "," 27,597 "," 28,564 ",0," 640,887 ",-967,-0.2,4.3,4.5
Queensland," 449,999 "," 19,176 "," 20,119 ",187," 449,243 ",-756,-0.2,4.3,4.5
South Australia," 147,197 "," 5,545 "," 6,333 ",0," 146,409 ",-788,-0.5,3.8,4.3
Western Australia," 225,458 "," 9,189 "," 10,000 ",-84," 224,563 ",-895,-0.4,4.1,4.4
Tasmania," 39,843 "," 1,460 "," 1,589 ",53," 39,767 ",-76,-0.2,3.7,4.0
Northern Territory," 14,712 ", 644 , 703 ,-6," 14,647 ",-65,-0.4,4.4,4.8
Australian Capital Territory," 30,334 "," 1,610 "," 1,528 ",-2," 30,414 ",80,0.3,5.3,5.0
Other Territories/Currently Unknown," 1,701 ", 112 , 88 ,5," 1,730 ",29,,,
Australia," 2,349,522 "," 101,478 "," 105,881 ",0," 2,345,119 ","-4,403",-0.2,4.3,4.5
