State,Operating at start of quarter,Entries,Exits,Net movement of surviving businesses,Operating at end of quarter,Change,Percentage change,Entry rate,Exit rate
New South Wales," 775,596 "," 33,975 "," 22,785 ",-383," 786,403 ","10,807",1.4,4.4,2.9
Victoria," 620,643 "," 29,050 "," 18,695 ",-110," 630,888 ","10,245",1.7,4.7,3.0
Queensland," 439,029 "," 17,257 "," 12,853 ",296," 443,729 ","4,700",1.1,3.9,2.9
South Australia," 143,826 "," 5,047 "," 3,624 ",70," 145,319 ","1,493",1.0,3.5,2.5
Western Australia," 220,930 "," 8,265 "," 6,257 ",-102," 222,836 ","1,906",0.9,3.7,2.8
Tasmania," 38,528 "," 1,409 ", 924 ,252," 39,265 ",737,1.9,3.7,2.4
Northern Territory," 14,344 ", 634 , 420 ,-18," 14,540 ",196,1.4,4.4,2.9
Australian Capital Territory," 29,353 "," 1,307 ", 892 ,-1," 29,767 ",414,1.4,4.5,3.0
Other Territories/Currently Unknown," 1,712 ", 77 , 84 ,-4," 1,701 ",-11,,,
Australia," 2,283,961 "," 97,021 "," 66,534 ",0," 2,314,448 ","30,487",1.3,4.2,2.9
