State,Operating at start of quarter,Entries,Exits,Net movement of surviving businesses,Operating at end of quarter,Change,Percentage change,Entry rate,Exit rate
New South Wales," 786,403 "," 40,867 "," 28,756 ",-90," 798,424 ","12,021",1.5,5.2,3.7
Victoria," 630,888 "," 33,103 "," 22,067 ",-70," 641,854 ","10,966",1.7,5.2,3.5
Queensland," 443,729 "," 21,553 "," 15,552 ",269," 449,999 ","6,270",1.4,4.9,3.5
South Australia," 145,319 "," 6,322 "," 4,478 ",34," 147,197 ","1,878",1.3,4.4,3.1
Western Australia," 222,836 "," 10,097 "," 7,349 ",-126," 225,458 ","2,622",1.2,4.5,3.3
Tasmania," 39,265 "," 1,710 "," 1,186 ",54," 39,843 ",578,1.5,4.4,3.0
Northern Territory," 14,540 ", 701 , 493 ,-36," 14,712 ",172,1.2,4.8,3.4
Australian Capital Territory," 29,767 "," 1,737 "," 1,130 ",-40," 30,334 ",567,1.9,5.8,3.8
Other Territories/Currently Unknown," 1,701 ", 103 , 108 ,5," 1,701 ",0,,,
Australia," 2,314,448 "," 116,193 "," 81,119 ",0," 2,349,522 ","35,074",1.5,5.0,3.5
