YEAR,MONTH,DAY,HOUR,MINUTE,LATITUDE,LONGITUDE,LOCATION_NAME,COUNTRY,REGION
2020,,,,,40,25,"E. SPORADES ISLANDS, AEGEAN ISLANDS",GREECE,Mediterranean Sea
2020,2,11,,,51.45,-2.583,"BRISTOL, ENGLAND",UK,Northeast Atlantic Ocean
2020,,,,,36.08,36.25,SAMANDAGI,TURKEY,Mediterranean Sea
2020,1,,,,40,128,YELLOW SEA,NORTH KOREA,"China, North and South Korea, Philippines, Taiwan"
2020,,,,,39.96,26.24,"IONIAN COASTS, TROAD",TURKEY,Mediterranean Sea
2020,9,,,,37.5,119.5,"LAIZHOU BAY, BOHAI SEA",CHINA,"China, North and South Korea, Philippines, Taiwan"
2020,10,21,,,37,126,YELLOW SEA,SOUTH KOREA,"China, North and South Korea, Philippines, Taiwan"
2020,12,21,,,38.4,-28.1,AZORES,PORTUGAL,Northeast Atlantic Ocean
2019,3,,,,33.1,139.8,"IZU PENINSULA, HACHIJO ISLAND",JAPAN,Japan
2019,1,23,,,31.9,140,CHICHIJIMA-TOKAIDO,JAPAN,Japan
2019,9,18,,,50.6,-2.466,"WEYMOUTH, ENGLAND",UK,Northeast Atlantic Ocean
2019,,,,,33.6,136,"TAIJI, KII",JAPAN,Japan
2019,8,14,,,49.465,-2.585,"GUERNSEY, ENGLISH CHANNEL",UK,Northeast Atlantic Ocean
2019,5,26,,,60.383,5.333,NORWAY: BERGEN,NORWAY,Northeast Atlantic Ocean
2018,,,,,38.4,-27.1,AZORES,PORTUGAL,Northeast Atlantic Ocean
2018,11,23,,,38.5,-28.1,AZORES,PORTUGAL,Northeast Atlantic Ocean
2018,,,,,33.1,139.767,"HACHIJO ISLAND, JAPAN",JAPAN,Japan
2018,11,11,,,50.116,-5.483,"WEST CORNWALL, ENGLAND",UK,Northeast Atlantic Ocean
2018,10,26,,,41.04,28.98,"MARMARA SEA, STRAIT OF BOSPORUS",TURKEY,Mediterranean Sea
2018,8,23,,,38,125.7,"HAEJU COAST, YELLOW SEA",NORTH KOREA,"China, North and South Korea, Philippines, Taiwan"
2018,2,13,,,64,-19.683,MOUNT HEKLA,ICELAND,Northeast Atlantic Ocean
2018,11,5,,,54.68,-1.21,"RIVER TEES, ENGLAND",UK,Northeast Atlantic Ocean
2018,5,5,,,28.271,-16.641,"TENERIFE, CANARY ISLANDS",SPAIN,Northeast Atlantic Ocean
2018,6,26,,,37.5,129.5,SEA OF JAPAN,SOUTH KOREA,"China, North and South Korea, Philippines, Taiwan"
2018,9,29,,,36.404,25.396,THERA ISLAND (SANTORINI),GREECE,Mediterranean Sea
2018,4,30,,,45.5,11,GULF OF VENICE,ITALY,Mediterranean Sea
2018,,,,,38.733,-27.066,AZORES,PORTUGAL,Northeast Atlantic Ocean
2018,1,,,,34.8,138.6,SURUGA,JAPAN,Japan
2018,9,24,,,36.3,126,"CHUNGCHONG PROVINCE, YELLOW SEA",SOUTH KOREA,"China, North and South Korea, Philippines, Taiwan"
2017,8,6,,,37.5,126,"INCHON, CHEMULPO BAY, YELLOW SEA",SOUTH KOREA,"China, North and South Korea, Philippines, Taiwan"
2017,1,19,,,51.5,0.466,ENGLAND,UK,Northeast Atlantic Ocean
2017,7,25,,,32.5,130.6,W. KYUSHU ISLAND,JAPAN,Japan
2017,9,27,,,51.5,0.1,"THE THAMES, ENGLAND",UK,Northeast Atlantic Ocean
2017,,,,,36.404,25.396,THERA ISLAND (SANTORINI),GREECE,Mediterranean Sea
2017,11,28,,,51.5,-0.08,"LONDON, ENGLAND",UK,Northeast Atlantic Ocean
2017,2,27,,,51.208,-4.122,"ILFRACOMBE, ENGLAND",UK,Northeast Atlantic Ocean
